,"crude prevalence rate | per 1000 | Model-based estimate for crude prevalence of mental health not good for >=14 days among adults aged >=18 years, 2020",population | individuals | Total Population of Census 2010,Location
21064,13.9,2766,"Hinsdale, Massachusetts"
21065,13.9,1213,"New Windsor, Illinois"
21066,13.9,153,"Seneca, Wisconsin"
21067,13.9,751,"Grand Gorge, New York"
21068,13.9,2459,"Ritzville, Washington"
21069,13.9,2924,"Cornell, Wisconsin"
21070,13.9,2329,"Cuba, Illinois"
21071,13.9,45467,"Colorado Springs, Colorado"
21072,13.9,42920,"Elmwood Park, Illinois"
21073,13.9,905,"Hubbardsville, New York"
21074,13.9,7831,"Lorena, Texas"
21075,13.9,32228,"Woodstock, Illinois"
21076,13.9,25268,"East Peoria, Illinois"
21077,13.9,1707,"Claude, Texas"
21078,13.9,49004,"Dallas, Texas"
21079,13.9,1212,"Logan, New Mexico"
21080,13.9,427,"Ford, Kansas"
21081,13.9,32228,"Woodstock, Illinois"
21082,13.9,25484,"Long Island City, New York"
21083,13.9,1123,"Washington, New Hampshire"
21084,13.9,171,"Hazelton, Kansas"
21085,13.9,3867,"Leesburg, Indiana"
21086,13.9,23763,"Lake Havasu City, Arizona"
21087,13.9,6089,"Lebanon, Illinois"
21088,13.9,854,"Marbury, Maryland"
21089,13.9,11186,"Bethalto, Illinois"
21090,13.9,43236,"Allentown, Pennsylvania"
21091,13.9,3443,"Stockton, Illinois"
21092,13.9,431,"Havana, Kansas"
21093,13.9,1521,"Waterville, Washington"
21094,13.9,2499,"Pauma Valley, California"
21095,13.9,5387,"Nashville, Illinois"
21096,13.9,2086,"Willsboro, New York"
21097,13.9,37166,"Tyler, Texas"
21098,13.9,1534,"Minier, Illinois"
21099,13.9,12819,"Escalon, California"
21100,13.9,1147,"Palo Pinto, Texas"
21101,13.9,45373,"Cedar Hill, Texas"
21102,13.9,18893,"Lynden, Washington"
21103,13.9,88,"Haswell, Colorado"
21104,13.9,2329,"Cuba, Illinois"
21105,13.9,26755,"Scottsdale, Arizona"
21106,13.9,2328,"Hartsburg, Missouri"
21107,13.9,31704,"Peachtree Corners, Georgia"
21108,13.9,2460,"La Grange, California"
21109,13.9,657,"Lane, Kansas"
21110,13.9,243,"Sainte Marie, Illinois"
21111,13.9,1552,"Viola, Illinois"
21112,13.9,519,"Goodman, Wisconsin"
21113,13.9,2872,"Superior, Arizona"
21114,13.9,9467,"Liberty Hill, Texas"
21115,13.9,21236,"El Paso, Texas"
21116,13.9,228,"Winston, New Mexico"
21117,13.9,672,"Moffat, Colorado"
21118,13.9,483,"Rippey, Iowa"
21119,13.9,5930,"Comfort, Texas"
21120,13.9,2791,"Mount Crawford, Virginia"
21121,13.9,126,"Fowlerton, Texas"
21122,13.9,8103,"Mentone, California"
21123,13.9,370,"Guinda, California"
21124,13.9,668,"Rowena, Texas"
21125,13.9,8842,"Pollock Pines, California"
21126,13.9,2815,"Pittsville, Wisconsin"
21127,13.9,4180,"Sonora, Texas"
21128,13.9,30949,"Redwood City, California"
21129,13.9,28736,"San Antonio, Texas"
21130,13.9,178,"Saint Benedict, Oregon"
21131,13.9,60283,"Virginia Beach, Virginia"
21132,13.9,1989,"Elizabeth, Illinois"
21133,13.9,269,"Wevertown, New York"
21134,13.9,1469,"Cresson, Pennsylvania"
21135,13.9,12728,"Lincoln, Nebraska"
21136,13.9,993,"What Cheer, Iowa"
21137,13.9,316,"Cal Nev Ari, Nevada"
21138,13.9,50,"Hooper, Washington"
21139,13.9,4176,"Platteville, Colorado"
21140,13.9,25922,"Seattle, Washington"
21141,13.9,318,"Albert, Kansas"
21142,13.9,37779,"Denver, Colorado"
21143,13.9,156,"Barnhart, Texas"
21144,13.9,43605,"Beaumont, California"
21145,13.9,265,"Wisdom, Montana"
21146,13.9,2197,"Coulterville, California"
21147,13.9,743,"Point Comfort, Texas"
21148,13.9,599,"Almena, Kansas"
21149,13.9,345,"Lambert, Montana"
21150,13.9,1088,"Welcome, Maryland"
21151,13.9,779,"Melvern, Kansas"
21152,13.9,2471,"Chapman, Kansas"
21153,13.9,9006,"Newmarket, New Hampshire"
21154,13.9,1089,"Juliaetta, Idaho"
21155,13.9,1429,"Barhamsville, Virginia"
21156,13.9,13162,"Grover Beach, California"
21157,13.9,288,"Hostetter, Pennsylvania"
21158,13.9,36067,"Yuba City, California"
21159,13.9,29975,"Springville, Utah"
21160,13.9,452,"Garden Grove, Iowa"
21161,13.9,60619,"Crown Point, Indiana"
21162,13.9,8891,"Syracuse, New York"
21163,13.9,32524,"Miami, Florida"
21164,13.9,37858,"Fort Lauderdale, Florida"
21165,13.9,31975,"Olympia, Washington"
21166,13.9,12163,"Buckeye, Arizona"
21167,13.9,3537,"Victor, Montana"
21168,13.9,1585,"Madison, New Hampshire"
21169,13.9,271,"Climax, New York"
21170,13.9,35239,"Philadelphia, Pennsylvania"
21171,13.9,2459,"Hurley, Wisconsin"
21172,13.9,427,"Medicine Park, Oklahoma"
21173,13.9,65,"Skwentna, Alaska"
21174,13.9,25150,"Las Vegas, Nevada"
21175,13.9,16641,"DeWitt, Michigan"
21176,13.9,4377,"Oxford, Wisconsin"
21177,13.9,4673,"San Antonio, Texas"
21178,13.9,20218,"Palmyra, Pennsylvania"
21179,13.9,607,"Summit, South Dakota"
21180,13.9,13460,"Valley Springs, California"
21181,13.9,108,"Waldo, Kansas"
21182,13.9,2164,"Springwater, New York"
21183,13.9,1443,"Callaway, Maryland"
21184,13.9,5109,"New Ipswich, New Hampshire"
21185,13.9,421,"Beattie, Kansas"
21186,13.9,326,"Port Clinton, Pennsylvania"
21187,13.9,6059,"Foristell, Missouri"
21188,13.9,1200,"Coleraine, Minnesota"
21189,13.9,828,"East Galesburg, Illinois"
21190,13.9,35149,"Milwaukee, Wisconsin"
21191,13.9,628,"Mineral, Washington"
21192,13.9,562,"Industry, Texas"
21193,13.9,198,"Millersview, Texas"
21194,13.9,1552,"Viola, Illinois"
21195,13.9,323,"Willard, New Mexico"
21196,13.9,15971,"Highland, Illinois"
21197,13.9,2308,"Conway Springs, Kansas"
21198,13.9,18320,"Cudahy, Wisconsin"
21199,13.9,25922,"Seattle, Washington"
21200,13.9,33665,"Fayetteville, Georgia"
21201,13.9,58,"Kaneville, Illinois"
21202,13.9,90,"Ojo Feliz, New Mexico"
21203,13.9,23813,"Portland, Oregon"
21204,13.9,1930,"Smith River, California"
21205,13.9,15717,"Westport, Massachusetts"
21206,13.9,38474,"Nottingham, Maryland"
21207,13.9,1578,"Morristown, Arizona"
21208,13.9,6135,"West Greenwich, Rhode Island"
21209,13.9,25199,"Grass Valley, California"
21210,13.9,1963,"Soulsbyville, California"
21211,13.9,11281,"Princeton, Illinois"
21212,13.9,8412,"North Scituate, Rhode Island"
21213,13.9,19850,"Corning, New York"
21214,13.9,2392,"Arpin, Wisconsin"
21215,13.9,23763,"Lake Havasu City, Arizona"
21216,13.9,264,"Palmer, Kansas"
21217,13.9,177,"Norton, Vermont"
21218,13.9,1468,"Medford, Oklahoma"
21219,13.9,733,"Fromberg, Montana"
21220,13.9,1101,"Grizzly Flats, California"
21221,13.9,453,"Bethune, Colorado"
21222,13.9,634,"Shandaken, New York"
21223,13.9,266,"Falun, Kansas"
21224,13.9,737,"Lamont, Iowa"
21225,13.9,7708,"New River, Arizona"
21226,13.9,21902,"Woodland, California"
21227,13.9,724,"Dennison, Illinois"
21228,13.9,485,"Dwight, Kansas"
21229,13.9,929,"Lewis, New York"
21230,13.9,22461,"Bixby, Oklahoma"
21231,13.9,318,"Albert, Kansas"
21232,13.9,12480,"Greenacres, Washington"
21233,13.9,1399,"Quinter, Kansas"
21234,13.9,2696,"Pound, Wisconsin"
21235,13.9,4192,"Jessup, Pennsylvania"
21236,13.9,170,"Raymond, Kansas"
21237,13.9,19052,"Urbana, Illinois"
21238,13.9,40583,"Bend, Oregon"
21239,13.9,378,"Netawaka, Kansas"
21240,13.9,20961,"Gardner, Kansas"
21241,13.9,119,"Van Orin, Illinois"
21242,13.9,1286,"Lincoln, Montana"
21243,13.9,55026,"Chicago, Illinois"
21244,13.9,1156,"Fults, Illinois"
21245,13.9,9016,"Madison, Alabama"
21246,13.9,813,"Camargo, Illinois"
21247,13.9,17660,"Easthampton, Massachusetts"
21248,13.9,3591,"Monclova, Ohio"
21249,13.9,182,"Gem, Kansas"
21250,13.9,3188,"Eden, Texas"
21251,13.9,16999,"Cloquet, Minnesota"
21252,13.9,24506,"Syracuse, Utah"
21253,13.9,29439,"Brainerd, Minnesota"
21254,13.9,159,"Alzada, Montana"
21255,13.9,1156,"Fults, Illinois"
21256,13.9,813,"Camargo, Illinois"
21257,13.9,599,"Almena, Kansas"
21258,13.9,1664,"Oklahoma City, Oklahoma"
21259,13.9,2544,"Minonk, Illinois"
21260,13.9,241,"Dunlo, Pennsylvania"
21261,13.9,28736,"San Antonio, Texas"
21262,13.9,2442,"Duluth, Minnesota"
21263,13.9,740,"San Ardo, California"
21264,13.9,8054,"Glencoe, Minnesota"
21265,13.9,15273,"Telford, Pennsylvania"
21266,13.9,8658,"Maquoketa, Iowa"
21267,13.9,605,"Skellytown, Texas"
21268,13.9,1642,"McArthur, California"
21269,13.9,4249,"Beaverdam, Virginia"
21270,13.9,724,"Dennison, Illinois"
21271,13.9,3556,"Niagara, Wisconsin"
21272,13.9,166,"Wilmore, Kansas"
21273,13.9,63,"Echo, Utah"
21274,13.9,2040,"Hebron, Illinois"
21275,13.9,30763,"Decatur, Georgia"
21276,13.9,2397,"Mc Queeney, Texas"
21277,13.9,434,"Bern, Kansas"
21278,13.9,26851,"Fredericksburg, Virginia"
21279,13.9,6005,"New Tripoli, Pennsylvania"
21280,13.9,61510,"Costa Mesa, California"
21281,13.9,1096,"Hanover, Kansas"
21282,13.9,28415,"San Antonio, Texas"
21283,13.9,764,"Hesston, Pennsylvania"
21284,13.9,1643,"Wanchese, North Carolina"
21285,13.9,1429,"Pioche, Nevada"
21286,13.9,7570,"New Freedom, Pennsylvania"
21287,13.9,3119,"Creal Springs, Illinois"
21288,13.9,31354,"Grand Rapids, Michigan"
21289,13.9,1240,"Warwick, Maryland"
21290,13.9,244,"Salvo, North Carolina"
21291,13.9,39831,"Springfield, Illinois"
21292,13.9,2459,"Ritzville, Washington"
21293,13.9,364,"King and Queen Court House, Virginia"
21294,13.9,1970,"Oriskany Falls, New York"
21295,13.9,2631,"Somerset, Massachusetts"
21296,13.9,7309,"Manchester, Michigan"
21297,13.9,1005,"Clyde, Kansas"
21298,13.9,50034,"Boise, Idaho"
21299,13.9,43714,"Paso Robles, California"
21300,13.9,10141,"Abilene, Kansas"
21301,13.9,21606,"Idaho Falls, Idaho"
21302,13.9,2167,"Kasilof, Alaska"
21303,13.9,847,"North Bonneville, Washington"
21304,13.9,85,"Mc Lean, New York"
21305,13.9,845,"Simpson, Illinois"
21306,13.9,9848,"Cape Canaveral, Florida"
21307,13.9,4721,"Beloit, Kansas"
21308,13.9,1178,"Moran, Kansas"
21309,13.9,25176,"Palmer, Alaska"
21310,13.9,78,"Lebanon, Wisconsin"
21311,13.9,59129,"Jamaica, New York"
21312,13.9,52973,"Rancho Cordova, California"
21313,13.9,9244,"Belmont, Michigan"
21314,13.9,170,"Raymond, Kansas"
21315,13.9,1119,"Tatamy, Pennsylvania"
21316,13.9,509,"Copake Falls, New York"
21317,13.9,4356,"Avon, Massachusetts"
21318,13.9,45847,"Houston, Texas"
21319,13.9,78,"Tylerton, Maryland"
21320,13.9,42847,"Fort Lauderdale, Florida"
21321,13.9,34204,"Fullerton, California"
21322,13.9,1668,"Swan Lake, New York"
21323,13.9,638,"Cory, Indiana"
21324,13.9,12218,"Scranton, Pennsylvania"
21325,13.9,42294,"Raleigh, North Carolina"
21326,13.9,5449,"New Lisbon, Wisconsin"
21327,13.9,918,"Danforth, Illinois"
21328,13.9,258,"Sierra City, California"
21329,13.9,218,"Elmer, Oklahoma"
21330,13.9,509,"Broadlands, Illinois"
21331,13.9,2898,"Wausaukee, Wisconsin"
21332,13.9,1240,"Westphalia, Missouri"
21333,13.9,1080,"Rolette, North Dakota"
21334,13.9,217,"Woodston, Kansas"
21335,13.9,517,"Taloga, Oklahoma"
21336,13.9,1469,"Hartwick, New York"
21337,13.9,426,"Davis, North Carolina"
21338,13.9,36761,"Stone Mountain, Georgia"
21339,13.9,15698,"Oviedo, Florida"
21340,13.9,12168,"Manteno, Illinois"
21341,13.9,4261,"New Castle, Virginia"
21342,13.9,4770,"Minot AFB, North Dakota"
21343,13.9,79,"Freeport, Kansas"
21344,13.9,323,"Bleiblerville, Texas"
21345,13.9,180,"Williston, North Carolina"
21346,13.9,9605,"Cincinnati, Ohio"
21347,13.9,20702,"Albany, New York"
21348,13.9,938,"King Cove, Alaska"
21349,13.9,36672,"Oakland, California"
21350,13.9,19881,"Baraboo, Wisconsin"
21351,13.9,1121,"Mohawk, Michigan"
21352,13.9,432,"French Gulch, California"
21353,13.9,3153,"Belle Plaine, Iowa"
21354,13.9,5623,"Aurora, Oregon"
21355,13.9,227,"Damar, Kansas"
21356,13.9,13910,"Waupun, Wisconsin"
21357,13.9,201,"Low Moor, Iowa"
21358,13.9,3131,"Kempton, Pennsylvania"
21359,13.9,12480,"Trinidad, Colorado"
21360,13.9,4118,"Fisherville, Kentucky"
21361,13.9,3395,"Douglass, Kansas"
21362,13.9,95,"Reidville, South Carolina"
21363,13.9,36981,"Santa Rosa, California"
21364,13.9,302,"Belmont, Vermont"
21365,13.9,217,"Bickleton, Washington"
21366,13.9,2457,"Valley Falls, Kansas"
21367,13.9,1089,"Juliaetta, Idaho"
21368,13.9,515,"Picacho, Arizona"
21369,13.9,229,"Universal, Indiana"
21370,13.9,1184,"Kings Mills, Ohio"
21371,13.9,1138,"Green Pond, South Carolina"
21372,13.9,449,"Lee Vining, California"
21373,13.9,215,"Hudson, Kansas"
21374,13.9,1429,"Pioche, Nevada"
21375,13.9,28913,"Fayetteville, Georgia"
21376,13.9,492,"Cliff, New Mexico"
21377,13.9,409,"Barbeau, Michigan"
21378,13.9,204,"Hooppole, Illinois"
21379,13.9,5735,"New Windsor, Maryland"
21380,13.9,3122,"Westtown, New York"
21381,13.9,2503,"Marfa, Texas"
21382,13.9,8750,"Mc Leansville, North Carolina"
21383,13.9,169,"Bond, Colorado"
21384,13.9,20734,"Dayton, Ohio"
21385,13.9,129,"Smoketown, Pennsylvania"
21386,13.9,4112,"Naches, Washington"
21387,13.9,19020,"Orlando, Florida"
21388,13.9,761,"Seymour, Illinois"
21389,13.9,8074,"Landrum, South Carolina"
21390,13.9,1198,"Ursa, Illinois"
21391,13.9,479,"Grand Marais, Michigan"
21392,13.9,11470,"Smithville, Missouri"
21393,13.9,640,"Andover, Maine"
21394,13.9,1443,"Vernon, Arizona"
21395,13.9,2426,"Virginia, Illinois"
21396,13.9,630,"Hayden, Arizona"
21397,13.9,2227,"Meade, Kansas"
21398,13.9,1663,"Varysburg, New York"
21399,13.9,1798,"Elizaville, New York"
21400,13.9,3270,"Ravensdale, Washington"
21401,13.9,15159,"Jenks, Oklahoma"
21402,13.9,2941,"Conesus, New York"
21403,13.9,345,"Scipio, Utah"
21404,13.9,30560,"Hyattsville, Maryland"
21405,13.9,895,"Harwick, Pennsylvania"
21406,13.9,427,"Dunlevy, Pennsylvania"
21407,13.9,33996,"San Francisco, California"
21408,13.9,38094,"Houston, Texas"
21409,13.9,1994,"Paxinos, Pennsylvania"
21410,13.9,104,"Forestville, Michigan"
21411,13.9,161,"Lamont, Washington"
21412,13.9,17853,"Lathrop, California"
21413,13.9,127,"Williamsville, Vermont"
21414,13.9,1891,"Joseph, Oregon"
21415,13.9,10749,"Fayetteville, Pennsylvania"
21416,13.8,104,"Sunset, Maine"
21417,13.8,290,"Linwood, Massachusetts"
21418,13.8,32327,"Los Angeles, California"
21419,13.8,1973,"Memphis, New York"
21420,13.8,15619,"Youngsville, North Carolina"
21421,13.8,647,"Easton, Illinois"
21422,13.8,154,"Drytown, California"
21423,13.8,172,"Valera, Texas"
21424,13.8,7539,"Seymour, Wisconsin"
21425,13.8,760,"Granada, Colorado"
21426,13.8,109,"Eldena, Illinois"
21427,13.8,867,"Wood Lake, Minnesota"
21428,13.8,613,"Hakalau, Hawaii"
21429,13.8,584,"Locust Hill, Virginia"
21430,13.8,36407,"Spring, Texas"
21431,13.8,26674,"Appleton, Wisconsin"
21432,13.8,3350,"Yantis, Texas"
21433,13.8,2337,"Maroa, Illinois"
21434,13.8,1338,"Pretty Prairie, Kansas"
21435,13.8,43072,"Las Vegas, Nevada"
21436,13.8,12704,"Alden, New York"
21437,13.8,1037,"Anderson Island, Washington"
21438,13.8,6757,"Terrebonne, Oregon"
21439,13.8,40571,"Lake Mary, Florida"
21440,13.8,952,"Wapella, Illinois"
21441,13.8,305,"Los Ojos, New Mexico"
21442,13.8,13566,"Raynham, Massachusetts"
21443,13.8,636,"Loraine, Illinois"
21444,13.8,4173,"Seabeck, Washington"
21445,13.8,85,"North Evans, New York"
21446,13.8,11963,"New Palestine, Indiana"
21447,13.8,503,"Three Mile Bay, New York"
21448,13.8,13930,"Mc Donald, Pennsylvania"
21449,13.8,18451,"El Paso, Texas"
21450,13.8,62068,"Anaheim, California"
21451,13.8,156,"Otto, Wyoming"
21452,13.8,236,"Briscoe, Texas"
21453,13.8,1910,"Glen Spey, New York"
21454,13.8,394,"Burgess, Virginia"
21455,13.8,494,"Park Hall, Maryland"
21456,13.8,54653,"Cumming, Georgia"
21457,13.8,645,"Horntown, Virginia"
21458,13.8,1362,"Cedarville, Michigan"
21459,13.8,4516,"Cameron, Wisconsin"
21460,13.8,613,"Armington, Illinois"
21461,13.8,62,"Villa Grande, California"
21462,13.8,5079,"Barre, Massachusetts"
21463,13.8,781,"Cosby, Missouri"
21464,13.8,3310,"Midland, Virginia"
21465,13.8,4219,"Deerfield, New Hampshire"
21466,13.8,26660,"Saugus, Massachusetts"
21467,13.8,2060,"Pepeekeo, Hawaii"
21468,13.8,123,"Whitsett, Texas"
21469,13.8,1350,"Velarde, New Mexico"
21470,13.8,3197,"Hanover, Virginia"
21471,13.8,38792,"Temple Hills, Maryland"
21472,13.8,442,"Mc Dowell, Virginia"
21473,13.8,1069,"Healy, Alaska"
21474,13.8,8333,"Prosperity, South Carolina"
21475,13.8,424,"Steen, Minnesota"
21476,13.8,13974,"Pittsburgh, Pennsylvania"
21477,13.8,22873,"Seattle, Washington"
21478,13.8,232,"Ancona, Illinois"
21479,13.8,10060,"Punta Gorda, Florida"
21480,13.8,640,"Sheyenne, North Dakota"
21481,13.8,21314,"Conroe, Texas"
21482,13.8,387,"Ponderosa, New Mexico"
21483,13.8,4129,"Sugarloaf, Pennsylvania"
21484,13.8,18580,"Schofield, Wisconsin"
21485,13.8,2408,"Lakeside, Montana"
21486,13.8,353,"ZCTA 20307, District of Columbia"
21487,13.8,29981,"Minneapolis, Minnesota"
21488,13.8,51802,"Everett, Washington"
21489,13.8,8896,"Spring Valley, California"
21490,13.8,12830,"Vero Beach, Florida"
21491,13.8,78731,"Brooklyn, New York"
21492,13.8,1931,"Pocono Pines, Pennsylvania"
21493,13.8,26563,"Utica, Michigan"
21494,13.8,48349,"Hillsboro, Oregon"
21495,13.8,1821,"Mathews, Virginia"
21496,13.8,1533,"Loda, Illinois"
21497,13.8,332,"San Cristobal, New Mexico"
21498,13.8,590,"Ladora, Iowa"
21499,13.8,1219,"Mc Gill, Nevada"
21500,13.8,13374,"Hooksett, New Hampshire"
21501,13.8,4997,"Black Creek, Wisconsin"
21502,13.8,2518,"Harborcreek, Pennsylvania"
21503,13.8,577,"Olsburg, Kansas"
21504,13.8,37664,"Miami, Florida"
21505,13.8,573,"Du Bois, Illinois"
21506,13.8,470,"Allenport, Pennsylvania"
21507,13.8,7617,"Wamego, Kansas"
21508,13.8,50141,"Columbia, South Carolina"
21509,13.8,9174,"Mead, Washington"
21510,13.8,3086,"Stanley, New York"
21511,13.8,1482,"Belmont, Wisconsin"
21512,13.8,12659,"Stafford Springs, Connecticut"
21513,13.8,902,"Wentworth, New Hampshire"
21514,13.8,21753,"Vail, Arizona"
21515,13.8,26507,"Ogden, Utah"
21516,13.8,3712,"Onawa, Iowa"
21517,13.8,28265,"Brooklyn, New York"
21518,13.8,815,"Pleasant Grove, California"
21519,13.8,2416,"Chester, California"
21520,13.8,3364,"Lomira, Wisconsin"
21521,13.8,4222,"Oley, Pennsylvania"
21522,13.8,702,"Nicolaus, California"
21523,13.8,334,"Middlefield, Massachusetts"
21524,13.8,5836,"Dimondale, Michigan"
21525,13.8,7277,"Morton, Pennsylvania"
21526,13.8,696,"Montour, Iowa"
21527,13.8,67,"Ralph, Michigan"
21528,13.8,2601,"Monticello, Utah"
21529,13.8,86408,"Brooklyn, New York"
21530,13.8,321,"Teasdale, Utah"
21531,13.8,981,"Walsh, Colorado"
21532,13.8,194,"Edgar, Montana"
21533,13.8,17553,"Marble Falls, Texas"
21534,13.8,252,"Talpa, Texas"
21535,13.8,334,"Winston, Montana"
21536,13.8,60448,"Bristol, Connecticut"
21537,13.8,1163,"Fairplay, Maryland"
21538,13.8,476,"Pleasant View, Colorado"
21539,13.8,1134,"Garber, Oklahoma"
21540,13.8,69,"Beeler, Kansas"
21541,13.8,19534,"Conroe, Texas"
21542,13.8,45164,"Santa Rosa, California"
21543,13.8,927,"Culbertson, Montana"
21544,13.8,4984,"Stratford, Wisconsin"
21545,13.8,19523,"Kearney, Nebraska"
21546,13.8,10398,"Wisconsin Dells, Wisconsin"
21547,13.8,311,"Canjilon, New Mexico"
21548,13.8,2452,"Spring Valley, Ohio"
21549,13.8,2579,"Trinidad, California"
21550,13.8,1360,"Thorndale, Pennsylvania"
21551,13.8,70,"Darfur, Minnesota"
21552,13.8,5922,"Greentown, Indiana"
21553,13.8,17553,"Marble Falls, Texas"
21554,13.8,4232,"Ravenel, South Carolina"
21555,13.8,410,"Belfry, Montana"
21556,13.8,3256,"Ogilvie, Minnesota"
21557,13.8,857,"Burt, Iowa"
21558,13.8,2901,"Leon, Iowa"
21559,13.8,953,"Hunter, New York"
21560,13.8,31880,"Grand Rapids, Michigan"
21561,13.8,6396,"Roanoke, Indiana"
21562,13.8,1630,"Morrisonville, Illinois"
21563,13.8,646,"Stockport, Iowa"
21564,13.8,15710,"Blaine, Washington"
21565,13.8,4253,"Suttons Bay, Michigan"
21566,13.8,368,"North Sandwich, New Hampshire"
21567,13.8,6471,"Quinton, Virginia"
21568,13.8,8001,"Montesano, Washington"
21569,13.8,1326,"Bancroft, Wisconsin"
21570,13.8,720,"Matador, Texas"
21571,13.8,28969,"Beaverton, Oregon"
21572,13.8,556,"Crumpton, Maryland"
21573,13.8,27434,"Tualatin, Oregon"
21574,13.8,36139,"Chapel Hill, North Carolina"
21575,13.8,43400,"Menifee, California"
21576,13.8,18482,"Saco, Maine"
21577,13.8,17395,"Verona, Pennsylvania"
21578,13.8,29561,"Easley, South Carolina"
21579,13.8,33174,"Racine, Wisconsin"
21580,13.8,26810,"Erie, Pennsylvania"
21581,13.8,38762,"Portland, Oregon"
21582,13.8,3274,"Toledo, Iowa"
21583,13.8,14117,"Apollo Beach, Florida"
21584,13.8,946,"Cummington, Massachusetts"
21585,13.8,970,"Catheys Valley, California"
21586,13.8,243,"La Place, Illinois"
21587,13.8,4903,"Winnabow, North Carolina"
21588,13.8,587,"Pierce, Idaho"
21589,13.8,410,"Belfry, Montana"
21590,13.8,9042,"Nine Mile Falls, Washington"
21591,13.8,410,"Orick, California"
21592,13.8,25880,"Bremerton, Washington"
21593,13.8,3796,"Yorktown, Texas"
21594,13.8,32226,"Sylvania, Ohio"
21595,13.8,4673,"Carle Place, New York"
21596,13.8,6423,"Groton, New York"
21597,13.8,6408,"Bedford Hills, New York"
21598,13.8,44183,"Fort Collins, Colorado"
21599,13.8,29100,"Norwalk, Connecticut"
21600,13.8,875,"Amberg, Wisconsin"
21601,13.8,527,"Geneseo, Kansas"
21602,13.8,850,"Kempton, Indiana"
21603,13.8,700,"Reddick, Illinois"
21604,13.8,1416,"Dighton, Kansas"
21605,13.8,1844,"Garden Plain, Kansas"
21606,13.8,34882,"Newhall, California"
21607,13.8,25536,"Royersford, Pennsylvania"
21608,13.8,9502,"Southwick, Massachusetts"
21609,13.8,148,"Medimont, Idaho"
21610,13.8,27198,"Norco, California"
21611,13.8,1982,"Menard, Texas"
21612,13.8,3338,"New Athens, Illinois"
21613,13.8,42230,"Bronx, New York"
21614,13.8,951,"Gilson, Illinois"
21615,13.8,722,"Kelliher, Minnesota"
21616,13.8,2206,"New Ellenton, South Carolina"
21617,13.8,6807,"Morris, Minnesota"
21618,13.8,3674,"Ellsworth, Kansas"
21619,13.8,1637,"Kirkland, Arizona"
21620,13.8,2202,"Rochdale, Massachusetts"
21621,13.8,146,"Musselshell, Montana"
21622,13.8,1085,"Hill, New Hampshire"
21623,13.8,338,"Basalt, Idaho"
21624,13.8,699,"Trinity Center, California"
21625,13.8,14992,"East Syracuse, New York"
21626,13.8,7429,"Oakdale, Connecticut"
21627,13.8,386,"Ben Bolt, Texas"
21628,13.8,59705,"Azusa, California"
21629,13.8,2779,"Princeton, Wisconsin"
21630,13.8,65,"Maryland Line, Maryland"
21631,13.8,2319,"Orfordville, Wisconsin"
21632,13.8,28986,"Midlothian, Texas"
21633,13.8,564,"Winchester, Idaho"
21634,13.8,45386,"Denver, Colorado"
21635,13.8,205,"Sciota, Illinois"
21636,13.8,1125,"Gordon, Texas"
21637,13.8,23387,"Clarkston, Michigan"
21638,13.8,291,"Rheems, Pennsylvania"
